rolls/buns,yogurt
root vegetables,domestic eggs
whipped/sour cream,yogurt
canned fish,coffee
cat food,yogurt,bottled beer,pastry
tropical fruit,whole milk,margarine,bottled beer
margarine,domestic eggs
salty snack,frozen meals
pastry,white bread
rolls/buns,whole milk
cat food,soda
rolls/buns,bottled beer,white bread
dessert,frozen fish
meat,whole milk
whole milk,sausage,pet care,yogurt
tropical fruit,cocoa drinks
tropical fruit,sausage
chewing gum,pot plants
whole milk,frankfurter,whole milk,curd,canned vegetables
root vegetables,pip fruit
hamburger meat,whole milk
frankfurter,beverages
pasta,hamburger meat,dessert,bottled water
other vegetables,whole milk
UHT-milk,rolls/buns
whole milk,specialty chocolate
beef,berries
whole milk,newspapers,whole milk,rolls/buns
other vegetables,soda,hard cheese,coffee,whipped/sour cream,newspapers
whole milk,chocolate
whole milk,meat
soda,pip fruit,coffee
fruit/vegetable juice,yogurt,rolls/buns,frozen vegetables
whole milk,yogurt,frozen vegetables
citrus fruit,other vegetables
soda,sausage,butter milk,vinegar
citrus fruit,beef,rolls/buns,whole milk
other vegetables,bottled water
finished products,whole milk
specialty chocolate,brown bread
frankfurter,frankfurter,citrus fruit,semi-finished bread,dishes,whipped/sour cream
curd,whole milk
dish cleaner,cling film/bags
soda,whole milk
hamburger meat,rolls/buns
other vegetables,semi-finished bread,shopping bags
cream cheese ,rolls/buns
rolls/buns,packaged fruit/vegetables
flour,cream cheese 
tropical fruit,white bread,red/blush wine
sausage,sliced cheese
root vegetables,butter
other vegetables,cooking chocolate
specialty bar,soda
whipped/sour cream,red/blush wine
seasonal products,other vegetables,bottled water
beef,spices
whole milk,napkins,napkins
cream cheese ,semi-finished bread
tropical fruit,pastry
dessert,fruit/vegetable juice
finished products,other vegetables
photo/film,frankfurter,other vegetables,curd,waffles
pork,pastry
meat,whole milk
tropical fruit,cookware,whole milk,oil
bottled water,tropical fruit
root vegetables,other vegetables,white wine
whole milk,soda,mayonnaise
frankfurter,root vegetables
mayonnaise,tropical fruit,packaged fruit/vegetables,beverages,cereals
shopping bags,whole milk,cling film/bags,bottled beer,newspapers
whole milk,root vegetables
pastry,soda,detergent
other vegetables,tropical fruit
pip fruit,bottled beer
sausage,hamburger meat,pork,chewing gum,whole milk,soda,soft cheese,yogurt
rolls/buns,butter
meat,sliced cheese
other vegetables,beef,tropical fruit,brown bread,cat food
pip fruit,pastry,rolls/buns,chocolate,soda
liquor,sweet spreads
chicken,fruit/vegetable juice
citrus fruit,newspapers
bottled beer,newspapers,seasonal products,bottled water
whole milk,sugar
napkins,canned vegetables
processed cheese,roll products 
berries,brown bread
butter milk,canned vegetables
pork,other vegetables,shopping bags
oil,UHT-milk
candy,domestic eggs
bottled water,frozen meals
tropical fruit,whipped/sour cream,whipped/sour cream
whole milk,softener,domestic eggs,soda
packaged fruit/vegetables,root vegetables,sliced cheese,pip fruit
pork,whole milk
hamburger meat,rolls/buns,brown bread
yogurt,other vegetables
chocolate,herbs
soda,other vegetables
tropical fruit,grapes
whole milk,rolls/buns,instant coffee
domestic eggs,ham
frankfurter,root vegetables
margarine,frozen vegetables
tropical fruit,pip fruit
rolls/buns,chewing gum,other vegetables
tropical fruit,specialty bar
canned beer,frozen fish
specialty cheese,onions
liquor,hygiene articles
butter,mayonnaise
rice,jam
dish cleaner,fruit/vegetable juice
dessert,soda
pip fruit,root vegetables
sliced cheese,newspapers
ham,yogurt
root vegetables,ice cream,rolls/buns
nut snack,whole milk
cream cheese ,misc. beverages
other vegetables,tropical fruit
processed cheese,specialty bar
soda,bottled water
butter,whole milk
pork,spread cheese
butter,grapes,bottled water
other vegetables,pip fruit,chocolate
other vegetables,whole milk,yogurt,hard cheese,bottled beer
dessert,bottled beer
whole milk,soda,yogurt
other vegetables,citrus fruit,whole milk,frankfurter,zwieback,other vegetables,domestic eggs,brown bread,sugar
sausage,whole milk,misc. beverages,specialty bar,soda
bottled water,whole milk
meat,other vegetables,chewing gum
pork,coffee
pork,rolls/buns
frozen fish,specialty cheese
beef,bottled water
misc. beverages,soft cheese
whole milk,soda
bottled beer,other vegetables
whole milk,bottled beer
frankfurter,curd
onions,sugar,mustard,rolls/buns
yogurt,frozen meals
pet care,newspapers,dog food
citrus fruit,chocolate
sliced cheese,shopping bags
soda,seasonal products
whole milk,newspapers
pip fruit,soda
frozen meals,margarine,semi-finished bread
curd,cream cheese ,nut snack,chocolate marshmallow,yogurt,female sanitary products
whole milk,dessert,dish cleaner
syrup,whole milk
specialty cheese,brown bread
hard cheese,sweet spreads
other vegetables,margarine
root vegetables,semi-finished bread,canned beer,newspapers
chicken,domestic eggs
pork,cereals
whole milk,root vegetables
yogurt,chocolate
rolls/buns,rolls/buns
ham,onions
frankfurter,whole milk
coffee,napkins
citrus fruit,tropical fruit
rolls/buns,ham,whole milk,sliced cheese,whole milk,fruit/vegetable juice,pickled vegetables,misc. beverages
yogurt,pastry,kitchen towels
soda,rolls/buns
citrus fruit,dish cleaner,margarine
ham,brown bread
beef,misc. beverages
other vegetables,yogurt
berries,root vegetables,bottled water
sausage,herbs
chicken,tropical fruit,specialty chocolate,curd,citrus fruit,whole milk,semi-finished bread
bottled beer,whole milk
sausage,whole milk,rolls/buns
root vegetables,sausage,condensed milk,other vegetables,canned beer,white bread,hard cheese,frozen vegetables
frankfurter,whole milk,red/blush wine,rolls/buns
beef,frozen vegetables
beverages,other vegetables,brown bread
canned beer,pastry,butter
salty snack,soups
sugar,bottled water,cream cheese 
hygiene articles,skin care
soda,pastry
spread cheese,specialty chocolate
misc. beverages,shopping bags,yogurt
sausage,soda,butter
soda,beverages
root vegetables,UHT-milk
UHT-milk,cling film/bags
herbs,grapes,whipped/sour cream
packaged fruit/vegetables,popcorn
pasta,cream cheese 
tropical fruit,waffles
candy,tropical fruit,rolls/buns
bottled water,cream cheese ,bottled beer
whole milk,canned fish
canned vegetables,dental care
turkey,frozen dessert,shopping bags
salty snack,newspapers
white wine,coffee
pip fruit,whipped/sour cream
pip fruit,butter
ham,whole milk
root vegetables,butter
specialty chocolate,domestic eggs
rolls/buns,frozen vegetables,frozen vegetables
brown bread,dessert
ice cream,hamburger meat,shopping bags,whole milk,soft cheese
soda,whipped/sour cream
oil,other vegetables,rolls/buns
misc. beverages,tropical fruit,yogurt,specialty chocolate
pip fruit,specialty chocolate,liquor (appetizer),soda
turkey,domestic eggs
rolls/buns,cat food
curd,long life bakery product
specialty bar,candles
long life bakery product,bottled beer
rolls/buns,misc. beverages,soda
tropical fruit,dessert,rolls/buns,long life bakery product
yogurt,rolls/buns
sliced cheese,sugar
bottled water,whisky
beef,flour
meat,tropical fruit,yogurt,candles
salty snack,napkins,sugar
meat,whole milk,whole milk,yogurt
citrus fruit,other vegetables,dessert,bottled beer
liquor (appetizer),candy,misc. beverages
rolls/buns,other vegetables
pastry,syrup
other vegetables,domestic eggs,napkins
berries,beverages,pastry,napkins
citrus fruit,yogurt
brown bread,processed cheese
finished products,dessert
white wine,rolls/buns
whole milk,root vegetables
citrus fruit,misc. beverages
semi-finished bread,spices
chicken,yogurt,newspapers,shopping bags,rolls/buns,domestic eggs
tropical fruit,tropical fruit,mayonnaise
sausage,soda
other vegetables,canned fish
whole milk,sausage,whole milk,yogurt,cake bar,female sanitary products,soda
rolls/buns,tropical fruit,seasonal products,fruit/vegetable juice
other vegetables,processed cheese
root vegetables,red/blush wine,salty snack
sausage,cream cheese 
pastry,tropical fruit,citrus fruit,coffee
bottled water,tropical fruit
white bread,tropical fruit
bottled beer,other vegetables,root vegetables,cream cheese ,waffles,rolls/buns
turkey,sugar
ice cream,rolls/buns
margarine,soda
soda,other vegetables
rolls/buns,other vegetables
soda,detergent
sausage,dessert
bottled water,soda
other vegetables,rolls/buns
whole milk,yogurt
whole milk,soups
whole milk,fruit/vegetable juice
whole milk,misc. beverages
other vegetables,domestic eggs,semi-finished bread
other vegetables,beverages,ice cream,shopping bags
fruit/vegetable juice,chewing gum
whole milk,cream cheese 
tropical fruit,whole milk,soda,curd
other vegetables,specialty chocolate
canned beer,seasonal products
whole milk,pip fruit,detergent
yogurt,bottled beer,sugar
detergent,salty snack
sausage,other vegetables
whole milk,curd cheese,root vegetables,pastry
yogurt,ham,other vegetables,soda,other vegetables,newspapers,nut snack,canned beer
whole milk,soda
cat food,canned beer,sliced cheese,dishes,zwieback
berries,other vegetables
bottled water,soda
onions,liquor (appetizer)
other vegetables,butter
whole milk,shopping bags,curd
onions,coffee
sugar,flour
root vegetables,whipped/sour cream,specialty bar
meat,chocolate,brown bread
soda,brown bread
curd,yogurt
frozen vegetables,butter
shopping bags,other vegetables
whole milk,other vegetables
pork,long life bakery product
whole milk,specialty bar
beef,candy
newspapers,bottled water,hard cheese
whole milk,frozen potato products
berries,pip fruit
rolls/buns,oil
sausage,newspapers
whole milk,white wine
pip fruit,bottled beer,other vegetables
chicken,pip fruit
sausage,rolls/buns
whole milk,frozen vegetables
sausage,other vegetables,mayonnaise,seasonal products
chicken,butter
chicken,white bread
whipped/sour cream,yogurt
whole milk,root vegetables,curd,yogurt
tropical fruit,coffee,dessert,fruit/vegetable juice
root vegetables,herbs,cream cheese 
whole milk,rolls/buns
frankfurter,long life bakery product,sugar
tropical fruit,curd cheese
canned beer,coffee
frankfurter,hamburger meat
chicken,pip fruit
whole milk,bottled water
sausage,whole milk
butter,tropical fruit,whole milk,napkins
sparkling wine,root vegetables
berries,other vegetables
ice cream,oil
hamburger meat,other vegetables
root vegetables,hard cheese,waffles
root vegetables,dessert
chewing gum,yogurt
coffee,sauces
roll products ,dishes
rolls/buns,grapes
fruit/vegetable juice,fruit/vegetable juice
beef,fruit/vegetable juice,whole milk
rolls/buns,whole milk
beef,whole milk,newspapers
whipped/sour cream,soda
canned beer,salty snack
whole milk,pot plants
rolls/buns,frozen vegetables,roll products 
rolls/buns,domestic eggs,rolls/buns
semi-finished bread,white bread
curd,newspapers
soda,butter
frankfurter,margarine
tropical fruit,candy
brown bread,curd
UHT-milk,other vegetables
margarine,newspapers
long life bakery product,soap
sausage,cat food
photo/film,domestic eggs,cocoa drinks
rolls/buns,mayonnaise
flower soil/fertilizer,yogurt,specialty chocolate
chicken,tropical fruit
pork,other vegetables
pip fruit,pork,brown bread,whole milk
frankfurter,whole milk
other vegetables,canned beer,shopping bags
citrus fruit,shopping bags
pip fruit,whole milk,margarine
citrus fruit,white wine,bottled beer,newspapers,cat food
sausage,bottled water
curd,canned beer
rolls/buns,brown bread,canned beer
frozen potato products,whole milk
tropical fruit,bottled beer,cake bar,yogurt
meat,pip fruit
rolls/buns,whipped/sour cream
domestic eggs,whipped/sour cream
whole milk,soda
curd,napkins
sausage,dessert
fruit/vegetable juice,frozen vegetables
tropical fruit,frozen vegetables
hard cheese,sugar
hard cheese,coffee
canned beer,yogurt,soda
whole milk,cream cheese 
other vegetables,newspapers
baking powder,root vegetables
beef,shopping bags
white wine,frozen potato products
ham,sausage,detergent,whipped/sour cream,yogurt,dishes
ham,specialty bar
pip fruit,hamburger meat,butter,yogurt
hamburger meat,cleaner
ham,pickled vegetables
dessert,other vegetables
onions,pork,rolls/buns,vinegar
UHT-milk,ice cream,specialty bar
sausage,berries
citrus fruit,pip fruit
frankfurter,bottled water,soft cheese
frankfurter,pastry
bottled beer,frozen vegetables,sliced cheese
domestic eggs,coffee,pastry
soda,fruit/vegetable juice
root vegetables,salty snack,whipped/sour cream
whole milk,whole milk
other vegetables,butter milk
whipped/sour cream,newspapers
root vegetables,coffee,soda
whole milk,butter
whole milk,other vegetables
rolls/buns,brandy
pip fruit,pasta
cat food,fruit/vegetable juice
beef,pip fruit,rolls/buns
yogurt,shopping bags,bottled water
whole milk,fruit/vegetable juice,shopping bags,shopping bags
butter milk,rolls/buns
seasonal products,soups
specialty chocolate,other vegetables
hamburger meat,other vegetables,frozen dessert,oil
cling film/bags,domestic eggs,domestic eggs
chicken,butter
butter,candy
rolls/buns,curd cheese,Instant food products
whole milk,curd
dessert,condensed milk,rolls/buns,shopping bags
frankfurter,shopping bags
pastry,waffles,other vegetables,whole milk,dental care,house keeping products,frozen vegetables
root vegetables,white bread,sliced cheese
root vegetables,rolls/buns
whole milk,grapes,pastry,yogurt
brandy,dessert
citrus fruit,sugar,specialty chocolate
other vegetables,yogurt
tropical fruit,bottled beer,UHT-milk,root vegetables
whole milk,sausage,root vegetables,long life bakery product,frozen vegetables
whipped/sour cream,other vegetables
whole milk,sugar,whole milk,onions,processed cheese,pip fruit,whole milk
chocolate,whipped/sour cream,brown bread
sausage,pastry
whole milk,root vegetables,detergent
citrus fruit,tropical fruit
beef,frozen fish,whole milk
rolls/buns,bottled beer
chicken,sugar
canned beer,rolls/buns,other vegetables,dog food
pip fruit,male cosmetics,dishes,dessert,rice
sausage,root vegetables
dessert,pot plants
white bread,canned fish
white bread,white bread
yogurt,soda
margarine,sugar
brown bread,white wine
tropical fruit,other vegetables,soft cheese
other vegetables,other vegetables,whole milk
rolls/buns,other vegetables
yogurt,chewing gum,soda,oil
other vegetables,bottled beer
whole milk,curd,bottled beer
whole milk,bottled water
misc. beverages,processed cheese
soda,salty snack
other vegetables,rolls/buns,frozen meals
sweet spreads,coffee
dessert,beverages
bottled water,cream cheese 
ice cream,pastry
pork,margarine
white bread,bottled water
berries,pastry
pip fruit,spread cheese,misc. beverages
waffles,napkins
whole milk,cocoa drinks
butter milk,fruit/vegetable juice
pip fruit,soft cheese
whole milk,pip fruit,whipped/sour cream
hamburger meat,yogurt
soft cheese,semi-finished bread
zwieback,shopping bags,kitchen towels
oil,onions
sausage,canned beer
sausage,other vegetables
canned beer,rolls/buns
whole milk,chocolate
frankfurter,yogurt
whole milk,newspapers
chicken,frankfurter,other vegetables,domestic eggs
sausage,detergent,hygiene articles
bottled water,yogurt,rolls/buns,newspapers,frozen dessert,rolls/buns
salty snack,rolls/buns,butter,tropical fruit,pastry,root vegetables,fruit/vegetable juice,semi-finished bread
tropical fruit,root vegetables,Instant food products
citrus fruit,flower (seeds)
frozen vegetables,whole milk
soda,margarine
yogurt,canned beer
other vegetables,chocolate
whole milk,rolls/buns,yogurt
pip fruit,rolls/buns
tropical fruit,citrus fruit,newspapers
root vegetables,softener
bottled beer,whipped/sour cream
dessert,flower (seeds)
soda,chocolate
other vegetables,dishes
tropical fruit,cream cheese 
citrus fruit,pastry,dish cleaner
butter,sliced cheese
tropical fruit,cling film/bags
other vegetables,dessert
pork,pip fruit
grapes,other vegetables
rolls/buns,cat food,beverages
rolls/buns,shopping bags
rolls/buns,curd cheese
butter,rolls/buns
bottled water,soft cheese,dishes,chocolate
pickled vegetables,cream cheese 
frankfurter,curd
sausage,tropical fruit
whole milk,rolls/buns
whole milk,root vegetables,rolls/buns,whipped/sour cream
frankfurter,whipped/sour cream,cat food
chicken,soda
sausage,beverages
pasta,brown bread,beef,long life bakery product,citrus fruit,whipped/sour cream,specialty cheese,frozen vegetables
onions,other vegetables
soda,soda
root vegetables,tropical fruit
beef,fruit/vegetable juice
liver loaf,pip fruit,fruit/vegetable juice,curd
coffee,chicken
sausage,bottled water
soda,flour,pudding powder
frankfurter,curd,beef,whipped/sour cream
misc. beverages,root vegetables,frozen vegetables,rolls/buns
whole milk,hamburger meat,beverages,bottled water
yogurt,other vegetables
frozen meals,bottled water
rolls/buns,white bread
tropical fruit,sweet spreads
spread cheese,specialty bar
whipped/sour cream,meat spreads
ice cream,curd
whole milk,rolls/buns,dish cleaner
onions,long life bakery product
curd cheese,pastry
frankfurter,UHT-milk
canned beer,other vegetables,dessert,pastry
cat food,butter
domestic eggs,tropical fruit
specialty chocolate,onions
brandy,pastry
yogurt,specialty vegetables
whole milk,other vegetables
grapes,chocolate marshmallow,dishes
citrus fruit,rolls/buns
beef,margarine
pork,other vegetables,yogurt,white bread
white bread,specialty bar,newspapers
coffee,cream cheese 
herbs,newspapers,newspapers,rolls/buns
kitchen towels,shopping bags
coffee,dessert
citrus fruit,rolls/buns
whipped/sour cream,yogurt
cat food,soda,yogurt,margarine
chocolate,domestic eggs
chewing gum,butter
whole milk,sauces
specialty bar,dog food,cream cheese 
mayonnaise,domestic eggs
onions,canned beer,flower (seeds)
finished products,rolls/buns,oil,frozen vegetables
margarine,cream cheese ,misc. beverages
root vegetables,yogurt,tropical fruit,shopping bags
pork,pasta,fruit/vegetable juice
napkins,frozen vegetables
soda,flour,cocoa drinks
hamburger meat,white bread
soda,pastry,frozen vegetables,UHT-milk
dessert,citrus fruit
canned beer,soda
sausage,flower (seeds)
beef,coffee
whole milk,rolls/buns,cat food,shopping bags
sausage,rolls/buns
meat,soda,cream cheese 
long life bakery product,root vegetables
whole milk,root vegetables
other vegetables,pastry
chewing gum,rolls/buns
soft cheese,napkins
zwieback,butter
bottled water,sugar
frozen meals,frozen dessert
pastry,domestic eggs,bottled water
whole milk,brown bread,soda
tropical fruit,flour
soda,chocolate marshmallow,hard cheese
whole milk,frozen potato products
pastry,newspapers
whole milk,yogurt,UHT-milk,specialty chocolate
yogurt,pip fruit
berries,baking powder
onions,rolls/buns
other vegetables,chocolate,white wine
ham,whole milk
shopping bags,misc. beverages
brown bread,waffles
root vegetables,pastry
bottled water,coffee,curd
other vegetables,male cosmetics
rolls/buns,brown bread
white wine,rolls/buns,soda,white bread
frozen meals,whole milk
whipped/sour cream,yogurt
shopping bags,snack products
chocolate,sliced cheese,bottled water,oil
coffee,tropical fruit
chicken,fruit/vegetable juice
herbs,whole milk,frozen dessert
frankfurter,tropical fruit
specialty bar,curd
root vegetables,liver loaf,white bread,domestic eggs,cream cheese 
berries,white bread
coffee,onions
frankfurter,rolls/buns
pastry,shopping bags
ham,rolls/buns,flower (seeds)
sausage,berries,rolls/buns
canned beer,newspapers,shopping bags
root vegetables,soda
misc. beverages,other vegetables,brown bread
roll products ,waffles
ice cream,beef
whole milk,butter
whole milk,newspapers,frozen vegetables
yogurt,waffles
citrus fruit,cat food
tropical fruit,rolls/buns,fruit/vegetable juice,canned beer
pet care,photo/film
beef,frozen vegetables
beverages,shopping bags
candy,domestic eggs
canned beer,curd
bottled water,shopping bags,shopping bags
other vegetables,waffles
vinegar,whole milk,bottled beer
cream cheese ,soft cheese
yogurt,whipped/sour cream
bottled water,bottled beer,brown bread
white wine,domestic eggs
pork,rolls/buns
frankfurter,hard cheese
tropical fruit,shopping bags
brown bread,fruit/vegetable juice
soda,candy
specialty chocolate,brown bread
dessert,other vegetables,other vegetables
bottled beer,canned beer
UHT-milk,shopping bags
sauces,misc. beverages
whole milk,bottled beer
sausage,coffee
chicken,whole milk
whipped/sour cream,rolls/buns,soda
other vegetables,pip fruit,white bread
rolls/buns,seasonal products,other vegetables,white bread
ice cream,candy,canned beer
sausage,curd
yogurt,pet care
pork,condensed milk,oil
beef,root vegetables,butter milk
citrus fruit,other vegetables
tropical fruit,other vegetables
packaged fruit/vegetables,berries
tropical fruit,semi-finished bread
pork,condensed milk,bottled beer,other vegetables,candy
root vegetables,male cosmetics
citrus fruit,beef,coffee
chocolate,rolls/buns
sausage,frozen vegetables,specialty vegetables
UHT-milk,whole milk,newspapers,domestic eggs
UHT-milk,pip fruit
other vegetables,rolls/buns
other vegetables,butter
pastry,rolls/buns
pip fruit,skin care
citrus fruit,rolls/buns
meat,butter milk
citrus fruit,sweet spreads
margarine,whipped/sour cream
ham,dessert
pastry,pasta
berries,curd
citrus fruit,soda
beef,sparkling wine,frozen fish,chewing gum
cereals,rolls/buns
candy,domestic eggs
pastry,waffles
brown bread,yogurt
frozen dessert,newspapers
pastry,yogurt,bottled water,soda
rolls/buns,whole milk
beef,bottled water
curd,condensed milk,dental care
other vegetables,soft cheese
specialty bar,roll products ,Instant food products
tropical fruit,flower (seeds)
rolls/buns,root vegetables
other vegetables,detergent,mayonnaise,dishes
citrus fruit,bottled water
rolls/buns,grapes,domestic eggs
bottled beer,oil
whole milk,root vegetables
yogurt,sliced cheese,whipped/sour cream
chocolate,frankfurter,yogurt,margarine,canned vegetables
whole milk,processed cheese,pastry,baking powder,fruit/vegetable juice,coffee,newspapers
other vegetables,pip fruit
sugar,fruit/vegetable juice
dessert,domestic eggs,candles,whole milk
sausage,oil,cream cheese 
root vegetables,misc. beverages,frozen dessert
canned vegetables,other vegetables
UHT-milk,other vegetables,other vegetables,bottled water
hamburger meat,newspapers
herbs,newspapers,brown bread
pip fruit,canned beer,hygiene articles,coffee
whole milk,tropical fruit
sausage,frozen vegetables
canned beer,brown bread
long life bakery product,sweet spreads
whole milk,frozen dessert
pastry,bottled water
chocolate,dessert
margarine,bathroom cleaner
yogurt,curd
female sanitary products,domestic eggs
pastry,shopping bags,sugar
meat,frozen potato products
root vegetables,butter,specialty bar,domestic eggs
whole milk,yogurt
whole milk,margarine
rolls/buns,soda
soda,yogurt,bottled water,pot plants
other vegetables,yogurt,pastry
root vegetables,beverages
meat,whole milk
white bread,meat,domestic eggs,roll products 
napkins,mustard
bottled beer,seasonal products
bottled water,chocolate
pip fruit,beverages,margarine,soda
whole milk,canned beer,bottled water,bottled beer
yogurt,pastry
domestic eggs,dessert
hamburger meat,root vegetables
yogurt,dessert
pork,brown bread
bottled water,UHT-milk
canned beer,soda
rolls/buns,whipped/sour cream
yogurt,butter,cling film/bags,fruit/vegetable juice
whole milk,bottled beer
bottled water,hamburger meat,pastry
turkey,whipped/sour cream,butter
whole milk,whipped/sour cream,soda
salty snack,curd
hard cheese,white wine
root vegetables,whipped/sour cream,frozen potato products,sugar
yogurt,specialty bar
bottled water,grapes
other vegetables,rolls/buns
other vegetables,rolls/buns
waffles,sparkling wine
hard cheese,shopping bags
bottled water,rolls/buns,waffles
berries,processed cheese
packaged fruit/vegetables,pet care
meat,citrus fruit
whole milk,candy
soda,soda,roll products 
bottled beer,frozen vegetables
frankfurter,chocolate
other vegetables,pip fruit,dessert,red/blush wine
misc. beverages,brown bread
oil,other vegetables
whole milk,rolls/buns,tropical fruit,other vegetables,cake bar,rolls/buns,curd
brown bread,beef,bottled beer,specialty fat
other vegetables,frozen vegetables
rolls/buns,domestic eggs,butter,butter
rolls/buns,tropical fruit,bottled beer,UHT-milk,newspapers
whole milk,whole milk
chicken,tropical fruit
canned beer,rolls/buns,rolls/buns
pork,whole milk,beverages,soda
rolls/buns,whole milk,soda
shopping bags,hard cheese,yogurt
cake bar,pastry,butter
whole milk,cat food
soda,candles
canned beer,other vegetables
oil,fruit/vegetable juice
bottled water,root vegetables
curd,rolls/buns
berries,candy
pip fruit,white wine
canned beer,frozen dessert
sausage,whole milk
fruit/vegetable juice,whole milk
whole milk,shopping bags
sausage,sugar
hard cheese,salty snack
soft cheese,onions
whole milk,whole milk
cream cheese ,brown bread
Instant food products,newspapers
ice cream,whole milk
pastry,bottled beer
other vegetables,hygiene articles
root vegetables,citrus fruit,bottled water,Instant food products,butter milk,mayonnaise
beef,soda
canned beer,rolls/buns
soda,tropical fruit,domestic eggs,domestic eggs
pip fruit,white wine
newspapers,yogurt,napkins
pastry,whole milk
rolls/buns,bottled water
ham,UHT-milk
chicken,napkins,other vegetables,newspapers
snack products,mayonnaise,bottled water
whole milk,pip fruit
butter,whole milk
coffee,pip fruit
frozen meals,rolls/buns,tropical fruit,curd
frankfurter,rolls/buns
beef,newspapers
sausage,UHT-milk
root vegetables,whole milk
butter milk,whole milk,white bread,rolls/buns
citrus fruit,bottled beer
oil,margarine
waffles,dishes,domestic eggs,oil
other vegetables,margarine
tropical fruit,mustard
pastry,dessert
citrus fruit,flour
honey,salty snack
oil,butter
soda,domestic eggs
long life bakery product,curd,pot plants,soda
soda,whole milk
rolls/buns,chewing gum
frankfurter,whole milk
rolls/buns,processed cheese
curd,brown bread
instant coffee,shopping bags
meat spreads,butter
dessert,root vegetables
white bread,whipped/sour cream
beef,rolls/buns
ice cream,yogurt
